Date : 2022-08-02 17:06:04
Directory : c:\Users\zy\Desktop\pentium_smart_admin
Total : 115 files,  10516 codes, 551 comments, 555 blanks, all 11622 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\productionData\form.vue                         | Vue                |        347 |          2 |          1 |        350 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\productionData\list.vue                         | Vue                |         96 |          2 |          1 |         99 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\details.vue                          | Vue                |        342 |          4 |          1 |        347 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\factoryDetails.vue                   | Vue                |        258 |          3 |          1 |        262 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\factoryList.vue                      | Vue                |         66 |          0 |          1 |         67 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\list.vue                             | Vue                |         87 |          0 |          1 |         88 |
| c:\Users\zy\Desktop\pentium_smart_admin\src\views\statistics\unsettledList.vue                    | Vue                |         64 |          0 |          2 |         66 |
| c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\.eslintrc.js                                   | JavaScript         |          5 |          0 |          1 |          6 |
| c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\components\Breadcrumb.spec.js                  | JavaScript         |         80 |         13 |          5 |         98 |
| c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\components\Hamburger.spec.js                   | JavaScript         |         18 |          0 |          1 |         19 |
| c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\components\SvgIcon.spec.js                     | JavaScript         |         22 |          0 |          1 |         23 |
| c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\formatTime.spec.js                       | JavaScript         |         28 |          0 |          3 |         31 |
| c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\param2Obj.spec.js                        | JavaScript         |         12 |          0 |          2 |         14 |
| c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\parseTime.spec.js                        | JavaScript         |         33 |          0 |          3 |         36 |
| c:\Users\zy\Desktop\pentium_smart_admin\tests\unit\utils\validate.spec.js                         | JavaScript         |         16 |          0 |          2 |         18 |
| c:\Users\zy\Desktop\pentium_smart_admin\vue.config.js                                             | JavaScript         |        100 |         23 |          8 |        131 |
| Total                                                                                             |                    |     10,516 |        551 |        555 |     11,622 |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
